,active_from,active_to,birth_date,college,height,name,position,url,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg
385,2000,2009,"May 7, 1976",Pennsylvania State University,6-11,Calvin Booth,C,/players/b/boothca01.html,230,0.0,.222,0.0,.452,.451,1.3,2.9,.748,0.7,0.9,366,3.3,0.1,.091,0.0,,8.6,.507,4.4,.707,3.6,2.5,114,11.3
386,1998,1999,"October 9, 1974",University of Maryland,6-6,Keith Booth,F,/players/b/boothke01.html,226,0.2,.091,0.0,.328,.325,1.1,3.5,.563,0.6,1.1,45,2.9,0.8,.210,0.2,,10.2,.456,4.7,.699,6.5,4.6,126,14.1
387,1961,1971,"April 26, 1937",Kansas State University,6-8,Bob Boozer,F,/players/b/boozebo01.html,215,,,,,.462,5.7,12.3,.761,3.5,4.6,874,14.8,,,,,,,,,,,,
388,2003,2015,"November 20, 1981",Duke University,6-9,Carlos Boozer,F-C,/players/b/boozeca01.html,258,0.0,.071,0.0,.521,.521,6.8,13.0,.722,2.6,3.7,861,16.2,0.0,.000,0.0,,8.7,.631,5.5,.741,5.3,3.9,101,14.9
389,2004,2005,"September 13, 1980",Stanford University,7-0,Curtis Borchardt,C,/players/b/borchcu01.html,240,0.0,.000,0.0,.421,.421,1.2,2.7,.742,0.8,1.1,83,3.1,0.6,.375,0.2,,6.6,.534,3.5,.691,4.2,2.9,66,10.2
390,1949,1950,"June 29, 1927",Muhlenberg College,6-5,Jake Bornheimer,F-C,/players/b/bornhja01.html,200,,,,,.295,1.6,5.5,.671,1.3,1.9,75,4.6,,,,,,,,,,,,
391,2000,2000,"September 20, 1972",,6-8,Lazaro Borrell,F,/players/b/borrela01.html,220,0.2,.000,0.0,.444,.444,1.6,3.7,.545,0.4,0.6,17,3.6,,,,,,,,,,,,
392,1951,1951,"July 25, 1924",Temple University,6-8,Ike Borsavage,C-F,/players/b/borsaik01.html,220,,,,,.351,1.1,3.1,.667,0.5,0.8,24,2.7,,,,,,,,,,,,
393,1950,1954,"March 11, 1927",University of Denver,6-5,Vince Boryla,F,/players/b/borylvi01.html,210,,,,,.371,4.2,11.2,.816,2.9,3.5,285,11.2,,,,,,,,,,,,
394,2004,2016,"March 24, 1984",Georgia Institute of Technology,6-11,Chris Bosh,F-C,/players/b/boshch01.html,235,1.0,.335,0.3,.506,.494,7.0,14.1,.799,5.0,6.3,893,19.2,1.5,.478,0.7,,9.7,.560,5.4,.730,5.6,4.1,31,15.6
395,1978,1978,"January 28, 1953",New Mexico State University,6-7,Jim Bostic,F,/players/b/bostiji01.html,225,,,,,.545,3.0,5.5,.400,0.5,1.3,4,6.5,,,,,,,,,,,,
396,1980,1980,"May 18, 1956",University of Maryland,6-8,Lawrence Boston,F,/players/b/bostola01.html,225,0.0,,0.0,.462,.462,1.8,4.0,.615,0.6,1.0,13,4.3,,,,,9.3,.576,5.3,.686,2.3,1.6,82,12.3
397,1976,1984,"October 2, 1953","South Carolina State University, University of South Carolina",6-9,Tom Boswell,F-C,/players/b/bosweto01.html,220,0.1,.545,0.1,.534,.533,3.0,5.6,.724,1.7,2.3,366,7.7,,,,,14.5,.504,7.3,.688,4.1,2.8,80,17.5
398,2018,2018,"January 11, 1993",University of Oregon,6-10,Chris Boucher,F,/players/b/bouchch01.html,182,1.0,.000,0.0,.000,.000,0.0,1.0,,0.0,0.0,1,0.0,3.2,.344,1.1,,8.2,.532,4.3,.641,3.4,2.2,69,12.0
399,2002,2004,"May 20, 1978",Georgetown University,7-0,Ruben Boumtje-Boumtje,C,/players/b/boumtru01.html,257,0.0,,0.0,.368,.368,0.3,0.9,.556,0.3,0.6,44,1.0,0.0,.000,0.0,,7.0,.485,3.4,.664,4.2,2.8,101,9.6
400,1950,1953,"March 6, 1925",Western Michigan University,6-4,Don Boven,F-G,/players/b/bovendo01.html,210,,,,,.339,2.9,8.5,.706,3.3,4.7,195,9.0,,,,,,,,,,,,
401,2000,2002,"March 31, 1977",Old Dominion University,6-10,Cal Bowdler,F,/players/b/bowdlca01.html,245,0.1,.182,0.0,.407,.404,1.1,2.8,.768,0.7,0.9,142,3.0,1.2,.264,0.3,,6.8,.451,3.1,.625,3.5,2.2,118,8.6
402,1997,2009,"June 14, 1971","California State University, Fullerton",6-7,Bruce Bowen,F,/players/b/bowenbr01.html,185,2.4,.393,0.9,.494,.409,2.2,5.5,.575,0.7,1.2,873,6.1,1.5,.283,0.4,,8.8,.433,3.8,.695,4.9,3.4,101,11.4
403,2000,2010,"November 20, 1975",University of Iowa,6-7,Ryan Bowen,F,/players/b/bowenry01.html,215,0.1,.206,0.0,.462,.456,1.1,2.4,.693,0.4,0.6,507,2.6,0.4,.375,0.2,,5.8,.575,3.3,.685,3.4,2.4,120,9.1
404,1968,1970,"July 7, 1940",Grambling State University,6-8,Tommie Bowens,F-C,/players/b/bowento01.html,220,0.0,.200,0.0,.409,.409,2.2,5.5,.661,0.9,1.3,211,5.4,,,,,,,,,,,,
405,1989,1998,"November 9, 1963",University of Oklahoma,6-6,Anthony Bowie,G-F,/players/b/bowiean01.html,190,0.5,.318,0.1,.487,.475,2.7,5.7,.824,0.8,1.0,461,6.4,,,,,11.0,.509,5.6,.787,2.7,2.2,72,13.4
406,1985,1995,"March 17, 1961",University of Kentucky,7-1,Sam Bowie,C-F,/players/b/bowiesa01.html,235,0.2,.302,0.1,.456,.452,4.2,9.2,.748,2.5,3.3,511,10.9,,,,,9.6,.522,5.0,.735,4.5,3.3,96,13.4
407,1968,1968,"March 21, 1939",University of Tennessee,6-10,Orbie Bowling,C,/players/b/bowlior01.html,215,0.0,,0.0,.321,.321,0.8,2.5,.250,0.3,1.1,11,1.9,,,,,,,,,,,,
408,2000,2002,"June 11, 1973","Providence College, University of Pennsylvania",6-5,Ira Bowman,G,/players/b/bowmair01.html,195,0.1,.000,0.0,.636,.636,0.4,0.6,.500,0.1,0.1,17,0.9,1.2,.348,0.4,,6.6,.502,3.3,.681,3.4,2.3,98,9.4
409,1967,1972,"March 19, 1943",Wichita State University,6-10,Nate Bowman,C,/players/b/bowmana01.html,230,0.1,.000,0.0,.388,.388,1.2,3.1,.529,0.4,0.8,261,2.9,,,,,,,,,,,,
410,1996,1997,"September 2, 1973",University of Colorado,6-5,Donnie Boyce,G,/players/b/boycedo01.html,196,0.8,.250,0.2,.384,.349,1.0,2.9,.500,0.4,0.9,30,2.6,3.9,.308,1.2,,15.4,.421,6.5,.666,6.7,4.5,107,18.6
411,1979,1979,"May 21, 1954",University of Detroit Mercy,6-1,Dennis Boyd,G,/players/b/boydde01.html,175,,,,,.250,0.6,2.4,,0.0,0.0,5,1.2,,,,,,,,,,,,
412,1973,1978,"June 13, 1950",Oregon State University,6-2,Freddie Boyd,G,/players/b/boydfr01.html,180,,,,,.414,3.6,8.6,.667,1.4,2.1,327,8.5,,,,,,,,,,,,
413,1975,1975,"March 25, 1952",Boston University,6-5,Ken Boyd,F,/players/b/boydke01.html,195,,,,,.538,1.2,2.2,.455,0.8,1.8,6,3.2,,,,,,,,,,,,
414,1999,2012,"June 2, 1976",Eastern Michigan University,5-5,Earl Boykins,G,/players/b/boykiea01.html,135,1.7,.348,0.6,.455,.417,3.2,7.6,.876,1.9,2.2,652,8.9,4.2,.353,1.5,,14.2,.439,6.2,.803,5.2,4.2,122,18.1
415,1950,1951,"July 24, 1922",St. John's University,6-10,Harry Boykoff,C,/players/b/boykoha01.html,225,,,,,.400,3.8,9.5,.765,2.5,3.3,109,10.1,,,,,,,,,,,,
416,1979,1981,"May 17, 1957",University of San Francisco,6-6,Winford Boynes,G-F,/players/b/boynewi01.html,185,0.0,.000,0.0,.435,.435,3.4,7.8,.783,1.6,2.0,177,8.4,,,,,14.6,.530,7.8,.825,4.1,3.4,90,18.9
417,2007,2007,"March 7, 1983","University of California, Los Angeles",6-6,Cedric Bozeman,G,/players/b/bozemce01.html,207,0.6,.154,0.1,.308,.282,0.5,1.7,.333,0.1,0.3,23,1.1,1.3,.321,0.4,,5.9,.435,2.6,.584,1.8,1.0,106,6.6
418,1973,1975,"August 1, 1950",University of Tulsa,6-1,Steve Bracey,G,/players/b/bracest01.html,175,,,,,.466,2.6,5.6,.684,0.9,1.3,187,6.1,,,,,,,,,,,,
419,2011,2012,"October 9, 1987",Iowa State University,6-10,Craig Brackins,F,/players/b/brackcr01.html,230,0.8,.214,0.2,.296,.265,0.8,2.9,.500,0.1,0.1,17,1.8,2.5,.292,0.7,,13.4,.445,6.0,.726,4.7,3.4,96,16.0
420,1965,1971,"July 26, 1942",Ohio State University,6-8,Gary Bradds,F,/players/b/braddga01.html,210,0.1,.056,0.0,.475,.475,4.4,9.2,.798,3.5,4.4,254,12.2,,,,,,,,,,,,
421,1982,1982,"October 30, 1959",Villanova University,6-6,Alex Bradley,F,/players/b/bradlal02.html,215,0.0,.000,0.0,.524,.524,1.4,2.6,.604,0.7,1.2,39,3.5,,,,,11.0,.505,5.6,.803,4.5,3.6,111,14.7
422,1978,1980,"October 16, 1953",Texas Southern University,6-6,Alonzo Bradley,F,/players/b/bradlal01.html,190,0.0,1.000,0.0,.419,.418,1.9,4.4,.703,0.7,1.0,99,4.4,,,,,,,,,,,,
423,2011,2018,"November 26, 1990",University of Texas at Austin,6-2,Avery Bradley,G,/players/b/bradlav01.html,180,3.5,.366,1.3,.496,.439,5.0,11.3,.772,1.1,1.4,459,12.3,3.3,.375,1.2,,10.8,.432,4.7,.545,1.9,1.1,34,11.6
424,1968,1968,"June 16, 1941",,5-11,Bill Bradley,G,/players/b/bradlbi02.html,165,0.3,.167,0.1,.324,.318,1.4,4.4,.911,0.9,1.0,58,3.8,,,,,,,,,,,,
425,1968,1977,"July 28, 1943",Princeton University,6-5,Bill Bradley,F-G,/players/b/bradlbi01.html,205,,,,,.448,5.3,11.8,.840,1.8,2.2,742,12.4,,,,,,,,,,,,
426,1982,1984,"May 16, 1959",University of Wyoming,6-5,Charles Bradley,G,/players/b/bradlch01.html,215,0.0,.000,0.0,.416,.416,1.2,2.8,.585,0.8,1.4,110,3.2,,,,,12.0,.533,6.4,.632,6.8,4.3,102,17.1
427,1980,1989,"March 19, 1957",University of North Carolina,6-6,Dudley Bradley,G-F,/players/b/bradldu01.html,195,0.6,.293,0.2,.458,.440,2.0,4.6,.730,1.0,1.3,600,5.2,,,,,4.0,.456,1.8,.552,1.2,0.7,120,4.4
428,1974,1976,"March 16, 1952",Northern Illinois University,6-8,Jim Bradley,F,/players/b/bradlji01.html,215,0.1,.000,0.0,.429,.429,2.9,6.9,.727,1.1,1.5,98,7.0,,,,,,,,,,,,
429,1950,1950,"September 24, 1928",Oklahoma State University,6-3,Joe Bradley,G,/players/b/bradljo01.html,175,,,,,.269,0.8,2.9,.395,0.3,0.8,46,1.9,,,,,,,,,,,,
430,2002,2006,"April 18, 1979","University of Kentucky, Villanova University",6-10,Michael Bradley,F-C,/players/b/bradlmi01.html,245,0.1,.143,0.0,.479,.477,1.3,2.6,.511,0.3,0.5,173,2.8,0.3,.353,0.1,,6.5,.677,4.4,.541,3.6,1.9,100,10.9
431,1994,2005,"March 22, 1972",Brigham Young University,7-6,Shawn Bradley,C,/players/b/bradlsh01.html,235,0.0,.103,0.0,.457,.457,3.3,7.1,.716,1.6,2.2,832,8.1,0.0,1.000,0.0,,10.6,.518,5.5,.692,5.4,3.8,34,14.8
432,2018,2018,"January 8, 1998",University of North Carolina,6-11,Tony Bradley,F-C,/players/b/bradlto01.html,240,0.1,.000,0.0,.273,.273,0.3,1.2,1.000,0.2,0.2,9,0.9,0.0,,0.0,,4.7,.573,2.7,.619,2.8,1.7,38,7.1
433,1997,1997,"September 27, 1968",,6-10,Mark Bradtke,C-F,/players/b/bradtma01.html,265,0.0,,0.0,.431,.431,0.7,1.6,.692,0.3,0.4,36,1.6,,,,,,,,,,,,
434,1996,1996,"March 24, 1970",Providence College,6-8,Marques Bragg,F,/players/b/braggma01.html,230,0.0,,0.0,.450,.450,1.0,2.3,.561,0.4,0.8,53,2.5,0.0,,0.0,,6.0,.564,3.4,.486,4.0,1.9,105,8.8
435,2004,2005,"May 15, 1976",Xavier University,6-8,Torraye Braggs,F,/players/b/braggto01.html,245,0.0,,0.0,.475,.475,0.9,1.8,.667,0.4,0.5,22,2.1,0.0,.000,0.0,,8.6,.550,4.7,.727,5.4,3.9,59,13.4
436,2000,2000,"January 10, 1977",University of Arizona,6-10,A.J. Bramlett,C,/players/b/bramlaj01.html,227,0.0,,0.0,.190,.190,0.5,2.6,,0.0,0.0,8,1.0,0.0,.000,0.0,,6.5,.525,3.4,.548,3.3,1.8,127,8.6
437,1987,1990,"November 17, 1963",University of Maryland,6-7,Adrian Branch,F-G,/players/b/brancad01.html,185,0.3,.231,0.1,.461,.455,2.5,5.6,.744,1.3,1.7,130,6.4,,,,,12.8,.486,6.2,.748,4.9,3.7,123,16.2
438,2000,2016,"March 11, 1979",Duke University,6-8,Elton Brand,F,/players/b/brandel01.html,275,0.0,.095,0.0,.501,.500,6.2,12.5,.736,3.4,4.7,1058,15.9,0.0,,0.0,,9.7,.612,5.9,.672,6.5,4.4,60,16.2
439,1992,2002,"May 20, 1970",University of Oregon,5-11,Terrell Brandon,G,/players/b/brandte01.html,180,1.5,.355,0.5,.471,.448,5.4,12.0,.873,2.5,2.8,724,13.8,3.7,.380,1.4,,16.8,.484,8.1,.810,5.5,4.5,57,22.2
440,1950,1955,"May 28, 1925",Michigan State University,6-5,Bob Brannum,F-C,/players/b/brannbo01.html,215,,,,,.344,2.6,7.6,.652,2.0,3.1,338,7.3,,,,,,,,,,,,
441,1982,1983,"September 24, 1958",Southern Methodist University,6-10,Brad Branson,C-F,/players/b/bransbr01.html,220,0.0,.000,0.0,.422,.422,2.1,5.0,.725,1.2,1.7,72,5.4,,,,,15.8,.448,7.1,.748,2.5,1.9,54,16.4
442,1966,1968,"January 7, 1942",Elon University,6-7,Jesse Branson,F,/players/b/bransje01.html,195,0.1,.222,0.0,.428,.427,4.5,10.6,.702,4.0,5.7,83,13.1,,,,,,,,,,,,
443,1953,1953,"February 3, 1931",New York University,6-1,Jim Brasco,G,/players/b/brascji01.html,170,,,,,.266,1.3,4.7,.794,1.4,1.7,20,3.9,,,,,,,,,,,,
444,1978,1986,"October 17, 1955",Stanford University,6-2,Mike Bratz,G,/players/b/bratzmi01.html,185,1.1,.305,0.3,.426,.407,2.7,6.6,.830,1.3,1.6,586,7.0,,,,,10.5,.467,4.9,.780,3.2,2.5,80,12.3
445,1948,1962,"September 25, 1927",Colgate University,6-5,Carl Braun,G-F,/players/b/braunca01.html,180,,,,,.383,5.0,13.0,.804,3.6,4.4,788,13.5,,,,,,,,,,,,
446,1995,1998,"September 19, 1970",University of Wyoming,6-7,Tim Breaux,F,/players/b/breauti01.html,215,0.7,.297,0.2,.406,.369,1.1,2.9,.635,0.6,0.9,102,2.9,2.4,.358,0.9,,9.5,.464,4.4,.678,4.1,2.8,121,12.5
447,2003,2004,"September 19, 1980",St. Bonaventure University,6-2,J.R. Bremer,G,/players/b/bremejr01.html,185,3.6,.333,1.2,.441,.344,2.1,6.2,.748,1.0,1.3,100,6.5,6.0,.333,2.0,,12.2,.403,4.9,.752,4.8,3.6,112,15.5
448,1959,1959,"September 23, 1936",University of North Carolina,6-6,Pete Brennan,F,/players/b/brennpe01.html,205,,,,,.302,0.8,2.7,.560,0.9,1.6,16,2.5,,,,,,,,,,,,
449,1955,1955,"August 6, 1930",Villanova University,6-3,Tom Brennan,F,/players/b/brennto01.html,195,,,,,.455,0.5,1.0,,0.0,0.0,11,0.9,,,,,,,,,,,,
450,1984,1994,"October 11, 1960",University of Minnesota,7-3,Randy Breuer,C,/players/b/breuera01.html,230,0.0,.000,0.0,.467,.467,2.8,6.0,.628,1.2,1.9,681,6.8,,,,,10.0,.570,5.7,.729,4.8,3.5,119,14.9
451,2008,2018,"March 5, 1986",University of Florida,6-9,Corey Brewer,F-G,/players/b/breweco01.html,186,2.2,.283,0.6,.464,.425,3.4,7.9,.713,1.5,2.1,781,8.9,2.6,.356,0.9,,8.2,.480,4.0,.708,3.6,2.5,108,11.3
452,2002,2005,"November 19, 1980",Auburn University,6-4,Jamison Brewer,G,/players/b/breweja01.html,184,0.6,.250,0.1,.415,.372,0.6,1.7,.393,0.2,0.5,54,1.6,1.0,.220,0.2,,4.5,.456,2.1,.527,2.5,1.3,58,5.7
453,1974,1982,"December 3, 1951",University of Minnesota,6-9,Jim Brewer,F-C,/players/b/breweji01.html,210,0.1,.077,0.0,.448,.448,2.5,5.7,.571,0.8,1.3,703,5.8,,,,,13.2,.412,5.4,.605,4.3,2.6,75,13.5
454,1979,1986,"September 16, 1955",University of Arkansas,6-4,Ron Brewer,G,/players/b/brewero01.html,180,0.3,.248,0.1,.462,.459,5.0,10.9,.824,1.9,2.3,501,11.9,,,,,11.4,.566,6.5,.754,3.9,2.9,91,15.8
455,2007,2014,"March 20, 1985",University of Arkansas,6-7,Ronnie Brewer,G-F,/players/b/brewero02.html,220,0.7,.254,0.2,.505,.490,3.1,6.3,.675,1.5,2.2,502,7.8,3.4,.340,1.2,,11.9,.462,5.5,.671,5.4,3.6,90,15.7
456,2002,2010,"October 2, 1979",,7-2,Primoz Brezec,C,/players/b/brezepr01.html,252,0.0,.167,0.0,.498,.498,3.0,5.9,.701,1.2,1.8,342,7.2,,,,,,,,,,,,
457,1950,1956,"May 1, 1923",Louisiana State University,6-1,Frankie Brian,G,/players/b/brianfr01.html,180,,,,,.340,4.0,11.9,.821,4.2,5.1,438,12.3,,,,,,,5.7,,,3.9,36,15.3
458,1985,1997,"August 14, 1959",Pennsylvania State University,6-9,Frank Brickowski,F-C,/players/b/brickfr01.html,240,0.2,.324,0.1,.524,.519,3.9,7.6,.740,2.1,2.8,731,10.0,,,,,6.2,.538,3.3,.757,2.5,1.9,101,8.5
459,1976,1987,"September 17, 1953",University of Louisville,6-5,Junior Bridgeman,F-G,/players/b/bridgju01.html,210,0.3,.244,0.1,.477,.475,5.7,11.9,.846,2.2,2.6,849,13.6,,,,,11.8,.517,6.1,.770,4.3,3.3,87,15.5
460,1963,1975,"April 4, 1939",University of Kansas,6-6,Bill Bridges,F-C,/players/b/bridgbi01.html,228,,,,,.442,4.5,10.2,.693,2.9,4.1,926,11.9,,,,,12.0,.401,4.8,.653,5.5,3.6,78,13.2
461,1947,1947,"September 22, 1923",University of Charleston,6-2,Al Brightman,F,/players/b/brighal01.html,195,,,,,.256,3.8,15.0,.627,2.1,3.3,58,9.8,,,,,,,,,,,,
462,1947,1947,"December 31, 1923",Dartmouth College,6-4,Aud Brindley,F,/players/b/brindau01.html,175,,,,,.286,1.2,4.1,.857,0.5,0.6,12,2.8,,,,,,,,,,,,
463,1970,1975,"June 15, 1947",University of Toledo,6-5,John Brisker,F-G,/players/b/briskjo01.html,210,2.5,.321,0.8,.467,.453,8.1,17.8,.834,4.0,4.8,331,20.7,,,,,,,,,,,,
464,1974,1983,"August 23, 1951",Virginia Polytechnic Institute and State University,6-7,Allan Bristow,F-G,/players/b/bristal01.html,210,0.2,.281,0.0,.462,.460,3.0,6.6,.801,1.8,2.2,695,7.8,,,,,18.7,.476,8.9,.705,7.6,5.4,78,23.1
465,1968,1968,"April 18, 1944",Johnson C. Smith University,6-4,Tyrone Britt,G,/players/b/brittty01.html,190,,,,,.382,1.2,3.1,.667,0.2,0.3,11,2.5,,,,,,,,,,,,
466,1978,1978,"August 31, 1952",University of Michigan,6-2,Wayman Britt,G,/players/b/brittwa01.html,185,,,,,.300,0.4,1.4,.750,0.4,0.6,7,1.3,,,,,,,,,,,,
467,1986,1987,"June 21, 1963",University of South Carolina,7-0,Mike Brittain,C,/players/b/brittmi01.html,235,0.0,,0.0,.500,.500,0.7,1.4,.524,0.3,0.6,38,1.7,,,,,6.0,.447,2.7,.701,2.3,1.6,109,7.0
468,1981,1981,"August 29, 1958",Texas A&M University,6-4,Dave Britton,G,/players/b/brittda01.html,180,0.0,,0.0,.667,.667,1.0,1.5,,0.0,0.0,2,2.0,,,,,9.5,.448,4.3,.687,3.8,2.6,67,11.1
469,2010,2012,"March 20, 1987",University of Washington,6-7,Jon Brockman,F,/players/b/brockjo01.html,255,0.0,.000,0.0,.488,.488,0.8,1.6,.618,0.6,0.9,150,2.1,0.0,.000,0.0,,10.3,.534,5.5,.612,4.6,2.8,131,13.8
470,1982,1983,"February 24, 1958",West Virginia Wesleyan College,6-4,Jim Brogan,G,/players/b/brogaji01.html,185,0.4,.267,0.1,.454,.444,2.1,4.8,.748,0.8,1.0,121,5.1,,,,,,,,,,,,
471,2017,2018,"December 11, 1992",University of Virginia,6-5,Malcolm Brogdon,G,/players/b/brogdma01.html,215,2.9,.393,1.1,.531,.470,4.4,9.3,.872,1.5,1.7,121,11.4,3.7,.365,1.4,,10.3,.430,4.4,.876,3.5,3.1,136,13.3
472,1975,1978,"January 11, 1954",University of Notre Dame,6-4,Gary Brokaw,G,/players/b/brokaga01.html,178,,,,,.446,3.0,6.8,.713,1.9,2.7,241,8.0,,,,,,,,,,,,
473,1949,1950,"May 11, 1920",West Texas A&M University,6-4,Price Brookfield,F-G,/players/b/brookpr01.html,185,,,,,.283,3.1,10.8,.739,1.7,2.3,61,7.8,,,,,,,,,,,,
474,1971,1971,,Temple University,6-4,Clarence Brookins,F,/players/b/brookcl01.html,190,0.1,.000,0.0,.308,.308,1.0,3.3,.417,0.6,1.5,8,2.6,,,,,,,,,,,,
475,2008,2018,"January 14, 1985",University of Oregon,6-0,Aaron Brooks,G,/players/b/brookaa01.html,161,3.4,.370,1.3,.488,.413,3.5,8.5,.837,1.4,1.7,644,9.7,4.8,.374,1.8,,10.1,.430,4.3,.834,3.2,2.7,115,13.1
476,2018,2018,"January 22, 1996",University of Oregon,6-6,Dillon Brooks,F-G,/players/b/brookdi01.html,220,3.2,.357,1.1,.499,.437,4.0,9.2,.735,1.4,1.9,80,10.6,3.4,.362,1.2,,11.4,.472,5.4,.794,3.5,2.8,109,14.8
477,1992,1994,"October 12, 1969",University of Louisiana at Lafayette,6-6,Kevin Brooks,F,/players/b/brookke01.html,200,0.5,.200,0.1,.415,.401,1.4,3.4,.859,0.5,0.6,126,3.3,,,,,,,,,,,,
478,2012,2018,"January 26, 1989",Providence College,6-5,MarShon Brooks,G-F,/players/b/brookma01.html,200,1.5,.355,0.5,.489,.451,3.1,7.0,.755,1.3,1.8,169,8.2,4.2,.333,1.4,,11.2,.464,5.2,.739,3.6,2.6,113,14.4
479,1981,1988,"August 17, 1958",La Salle University,6-7,Michael Brooks,F,/players/b/brookmi01.html,220,0.1,.152,0.0,.486,.486,5.2,10.8,.714,2.3,3.2,319,12.8,,,,,,,,,,,,
480,1989,1998,"July 31, 1965","Texas Christian University, University of California, Irvine",5-11,Scott Brooks,G,/players/b/brooksc01.html,165,1.1,.372,0.4,.503,.450,1.8,4.0,.849,0.8,1.0,680,4.9,5.8,.418,2.4,,8.7,.475,4.1,.852,3.2,2.7,85,12.6
481,2007,2009,"May 12, 1981",DePaul University,6-9,Andre Brown,F,/players/b/brownan01.html,245,0.0,.000,0.0,.516,.516,1.1,2.1,.500,0.4,0.9,75,2.6,0.0,.000,0.0,,8.3,.502,4.2,.523,4.5,2.3,107,10.7
482,2016,2018,"October 10, 1992",Stanford University,6-7,Anthony Brown,F-G,/players/b/brownan02.html,210,2.4,.286,0.7,.407,.328,1.4,4.3,.850,0.4,0.5,41,3.9,3.8,.403,1.5,,8.4,.428,3.6,.751,2.8,2.1,144,10.8
483,1949,1950,"November 12, 1923",Miami University,6-4,Bob Brown,F,/players/b/brownbo01.html,205,,,,,.358,3.8,10.7,.689,2.5,3.6,82,10.1,,,,,,,,,,,,
484,2009,2018,"September 24, 1984","California State University, Fullerton",6-2,Bobby Brown,G,/players/b/brownbo02.html,175,1.9,.317,0.6,.446,.379,1.7,4.5,.806,0.3,0.4,158,4.4,7.0,.377,2.6,,13.9,.428,6.0,.789,2.9,2.3,116,16.9
485,1990,2002,"February 29, 1968",North Carolina State University,6-7,Chucky Brown,F,/players/b/brownch01.html,214,0.1,.227,0.0,.494,.491,2.5,5.0,.699,1.0,1.4,694,5.9,0.3,.250,0.1,,7.8,.557,4.3,.667,2.8,1.9,128,10.6
486,2002,2005,"June 28, 1979",Syracuse University,6-9,Damone Brown,F,/players/b/brownda02.html,200,0.4,.286,0.1,.352,.336,1.1,3.3,.667,0.5,0.7,39,2.8,0.8,.225,0.2,,8.7,.497,4.3,.742,2.7,2.0,113,10.9
487,1949,1949,"March 14, 1923",Humboldt State University,6-2,Darrell Brown,F,/players/b/brownda01.html,175,,,,,.333,0.7,2.0,.000,0.0,0.7,3,1.3,,,,,,,,,,,,
488,1991,2002,"November 29, 1968",Jacksonville University,6-1,Dee Brown,G,/players/b/brownde01.html,160,2.8,.357,1.0,.488,.436,4.2,9.6,.825,1.8,2.1,608,11.1,2.2,.366,0.8,,11.3,.482,5.4,.763,3.0,2.3,108,13.9
489,2007,2009,"August 17, 1984",University of Illinois at Urbana-Champaign,6-0,Dee Brown,G,/players/b/brownde03.html,185,0.8,.250,0.2,.384,.340,0.7,2.2,.643,0.4,0.6,68,2.1,6.1,.360,2.2,,11.0,.422,4.7,.725,2.4,1.7,137,13.2
490,2010,2012,"September 8, 1987",Xavier University,6-7,Derrick Brown,F,/players/b/brownde04.html,225,0.2,.317,0.1,.525,.515,2.1,4.0,.637,1.0,1.6,171,5.2,1.2,.415,0.5,,6.5,.573,3.7,.718,3.3,2.4,106,10.3
491,2003,2010,"December 30, 1978",University of Texas at San Antonio,6-5,Devin Brown,G,/players/b/brownde02.html,220,1.9,.338,0.6,.452,.401,2.5,6.3,.776,1.5,2.0,465,7.2,5.2,.309,1.6,,14.7,.411,6.1,.733,6.2,4.6,105,18.3
492,2002,2002,"May 17, 1979",Indian Hills Community College,7-0,Ernest Brown,C,/players/b/browner01.html,244,0.0,,0.0,.167,.167,0.3,2.0,.250,0.3,1.3,3,1.0,,,,,,,,,,,,
493,1972,1984,"August 7, 1948",University of Iowa,6-3,Fred Brown,G,/players/b/brownfr01.html,182,0.8,.373,0.3,.482,.478,6.2,13.1,.858,2.0,2.3,963,14.6,,,,,18.6,.501,9.3,.819,5.0,4.1,48,22.7
494,1958,1958,"October 30, 1935",Wayne State University,6-6,George Brown,F,/players/b/brownge01.html,190,,,,,.000,0.0,2.0,.500,1.0,2.0,1,1.0,,,,,,,,,,,,
495,1999,1999,"July 28, 1975",Pepperdine University,6-4,Gerald Brown,G,/players/b/brownge02.html,210,0.3,.300,0.1,.388,.371,1.0,2.7,.786,0.3,0.4,33,2.4,2.3,.369,0.8,,10.9,.462,5.1,.768,3.1,2.4,110,13.3
496,1947,1947,"October 2, 1923",University of Evansville,6-0,Harold Brown,G,/players/b/brownha01.html,155,,,,,.248,1.8,7.1,.632,1.4,2.2,54,4.9,,,,,,,,,,,,
497,2015,2015,"December 18, 1992","University of Oregon, University of Missouri",6-4,Jabari Brown,G,/players/b/brownja01.html,215,3.3,.371,1.2,.479,.412,3.7,8.9,.753,3.4,4.5,19,11.9,5.7,.386,2.2,,11.2,.441,5.0,.782,6.2,4.9,62,17.0
